Room Number,Appliance Type,Issue Reported,Last Maintenance Date,Usage Hours,Days Since Maintenance,Average_Daily_Usage,Device_Year,Warranty Year
2021,Heater,Not working,8/20/2024,2285,300,8,2022,2025
2007,Television,Flickering,3/29/2023,2852,810,3,2018,2022
2122,Television,Unresponsive,4/14/2024,3736,428,9,2019,2023
2092,Hair Dryer,Not working,12/16/2024,2662,182,16,2014,2016
2047,Heater,Flickering,4/27/2023,2780,781,4,2018,2021
2014,Coffee Maker,Unresponsive,3/17/2025,1578,92,15,2024,2027
2109,Hair Dryer,Leaking,1/19/2024,1881,514,5,2018,2020
2018,Heater,Low performance,12/31/2024,5036,168,24,2023,2026
2060,Heater,Leaking,5/24/2024,1134,388,4,2015,2018
2140,Air Conditioner,Overheating,2/5/2024,3814,497,8,2022,2027
2047,Heater,Leaking,11/30/2023,4051,565,7,2022,2025
2111,Hair Dryer,Overheating,2/3/2025,720,133,4,2015,2017
2147,Heater,Overheating,5/5/2024,2006,408,6,2023,2026
2119,Television,Overheating,12/12/2023,1287,553,2,2020,2024
2120,Mini Fridge,Unresponsive,4/18/2025,1755,60,24,2014,2017
2082,Heater,Unresponsive,1/15/2025,4729,153,24,2014,2017
2059,Air Conditioner,Flickering,1/9/2024,1918,525,4,2022,2027
2108,Television,Noisy,1/13/2024,2852,520,6,2015,2019
2065,Hair Dryer,Leaking,8/16/2023,786,670,1,2019,2021
2070,Television,Unresponsive,2/6/2024,1954,496,4,2024,2028
2068,Hair Dryer,Overheating,4/27/2023,11640,781,15,2024,2026
2018,Television,Flickering,10/22/2024,1452,238,6,2020,2024
2144,Air Conditioner,Noisy,4/16/2025,4976,62,24,2017,2022
2143,Lamp,Not working,9/30/2023,1966,625,3,2015,2017
2001,Television,Leaking,1/3/2024,2772,530,5,2021,2025
2059,Coffee Maker,Noisy,6/15/2024,2692,367,8,2021,2024
2086,Mini Fridge,Overheating,8/12/2024,832,308,3,2016,2018
2096,Mini Fridge,Low performance,10/8/2023,3859,617,6,2024,2026
2104,Air Conditioner,Low performance,9/17/2023,2679,638,4,2023,2028
2102,Hair Dryer,Not working,3/27/2025,1017,81,11,2021,2023
2003,Mini Fridge,Leaking,11/9/2024,3757,219,16,2021,2026
2096,Lamp,Low performance,6/2/2024,2136,379,6,2022,2024
2008,Heater,Flickering,3/20/2025,4168,88,24,2018,2021
2043,Heater,Overheating,7/11/2024,1887,341,6,2019,2022
2123,Mini Fridge,Leaking,8/11/2023,2021,675,2,2021,2023
2039,Lamp,Low performance,2/14/2025,4829,123,24,2024,2026
2106,Mini Fridge,Not working,6/16/2025,1078,1,24,2018,2021
2091,Mini Fridge,Leaking,8/1/2024,3327,320,10,2016,2020
2026,Air Conditioner,Unresponsive,5/28/2023,3882,751,5,2017,2022
2032,Heater,Not working,3/16/2025,3811,93,24,2023,2026
2147,Mini Fridge,Overheating,4/5/2025,852,72,12,2015,2019
2062,Coffee Maker,Unresponsive,3/8/2023,1699,831,2,2021,2024
2077,Lamp,Overheating,1/26/2023,797,872,1,2020,2022
2052,Coffee Maker,Noisy,3/6/2023,1639,833,2,2017,2020
2033,Coffee Maker,Noisy,1/7/2025,4494,160,24,2015,2018
2016,Heater,Unresponsive,1/6/2025,4706,162,24,2021,2024
2082,Air Conditioner,Low performance,6/21/2023,2763,727,4,2023,2028
2132,Air Conditioner,Not working,8/28/2023,2434,659,3,2014,2019
2039,Television,Unresponsive,6/18/2023,15362,730,21,2014,2018
2139,Lamp,Noisy,9/26/2023,4764,629,7,2018,2020
2090,Mini Fridge,Overheating,5/31/2024,2231,381,5,2023,2027
2058,Mini Fridge,Unresponsive,5/8/2025,2118,40,23,2014,2018
2062,Hair Dryer,Low performance,1/2/2023,1641,897,2,2020,2022
2008,Mini Fridge,Flickering,5/30/2025,4936,17,24,2016,2018
2072,Lamp,Not working,12/23/2024,1691,175,11,2017,2019
2146,Air Conditioner,Overheating,10/4/2023,1876,621,3,2020,2025
2093,Coffee Maker,Not working,6/23/2024,1707,359,5,2021,2024
2037,Mini Fridge,Flickering,11/26/2023,2079,568,4,2020,2022
2062,Air Conditioner,Noisy,5/28/2024,884,385,2,2021,2026
2023,Lamp,Overheating,9/16/2023,4720,639,7,2021,2023
2002,Lamp,Leaking,1/2/2023,2093,897,2,2021,2023
2083,Television,Low performance,4/9/2025,1336,69,22,2021,2025
2117,Air Conditioner,Noisy,6/24/2023,2901,723,4,2022,2027
2104,Coffee Maker,Flickering,5/2/2025,2345,45,24,2017,2020
2071,Hair Dryer,Unresponsive,9/14/2023,3718,642,6,2018,2020
2111,Hair Dryer,Noisy,3/2/2024,1191,471,2,2023,2025
2021,Coffee Maker,Low performance,2/24/2023,525,843,1,2022,2025
2114,Lamp,Not working,5/1/2025,4915,47,24,2020,2022
2009,Television,Overheating,10/29/2024,4888,230,21,2018,2022
2040,Heater,Unresponsive,12/7/2023,3942,558,7,2015,2018
2065,Heater,Not working,2/5/2025,3774,131,24,2024,2027
2093,Television,Overheating,4/28/2025,672,49,8,2022,2026
2107,Hair Dryer,Low performance,2/3/2023,2321,865,3,2024,2026
2082,Hair Dryer,Unresponsive,6/13/2023,1872,735,3,2018,2020
2123,Television,Flickering,8/16/2023,2813,671,5,2017,2021
2140,Hair Dryer,Unresponsive,3/26/2025,1980,82,24,2015,2017
2070,Air Conditioner,Noisy,2/14/2023,2684,853,4,2015,2020
2069,Mini Fridge,Unresponsive,12/23/2023,4150,542,7,2022,2026
2040,Lamp,Unresponsive,1/26/2024,2169,508,4,2022,2024
2140,Lamp,Overheating,2/6/2025,1479,131,11,2015,2017
2098,Television,Not working,7/12/2023,3862,706,5,2021,2025
2047,Lamp,Not working,4/27/2025,2818,51,24,2018,2020
2141,Mini Fridge,Not working,3/4/2024,4025,470,8,2023,2027
2075,Coffee Maker,Overheating,7/7/2024,4284,344,12,2019,2022
2056,Hair Dryer,Overheating,5/5/2023,832,773,1,2023,2025
2001,Television,Noisy,8/30/2024,1352,290,5,2018,2022
2022,Air Conditioner,Flickering,11/26/2023,4231,568,7,2016,2021
2110,Coffee Maker,Unresponsive,2/14/2025,2915,123,20,2017,2020
2057,Television,Unresponsive,5/11/2025,3841,36,24,2018,2022
2052,Mini Fridge,Not working,4/5/2023,3330,804,4,2015,2020
2016,Television,Noisy,7/20/2024,879,331,2,2024,2028
2110,Coffee Maker,Unresponsive,1/30/2025,3358,138,23,2023,2026
2018,Hair Dryer,Flickering,7/30/2024,3160,321,9,2024,2026
2059,Hair Dryer,Overheating,10/22/2023,3938,603,6,2021,2023
2000,Lamp,Noisy,4/23/2023,885,785,1,2024,2026
2114,Hair Dryer,Overheating,3/24/2025,3897,84,24,2018,2020
2145,Air Conditioner,Overheating,8/20/2024,1680,300,6,2021,2026
2071,Television,Leaking,10/26/2023,2113,600,3,2022,2026
2079,Coffee Maker,Leaking,10/19/2023,2409,607,5,2016,2019
2070,Hair Dryer,Unresponsive,8/31/2023,1492,655,2,2021,2023
2053,Lamp,Flickering,1/10/2024,3289,523,6,2021,2023
2148,Television,Noisy,11/6/2023,3799,589,6,2023,2027
2027,Coffee Maker,Noisy,5/10/2024,2079,403,6,2022,2025
2131,Mini Fridge,Unresponsive,9/16/2023,4369,639,7,2021,2023
2000,Air Conditioner,Low performance,12/15/2024,766,184,5,2014,2019
2033,Mini Fridge,Overheating,6/19/2023,3034,728,4,2021,2023
2073,Air Conditioner,Not working,3/11/2023,1440,829,2,2017,2022
2078,Hair Dryer,Unresponsive,5/27/2024,1997,385,5,2024,2026
2002,Mini Fridge,Unresponsive,3/26/2023,2571,813,3,2024,2027
2145,Television,Overheating,8/23/2024,659,297,3,2019,2023
2001,Lamp,Noisy,3/8/2024,4624,465,10,2024,2026
2107,Air Conditioner,Not working,1/23/2024,3324,511,7,2020,2025
2095,Lamp,Flickering,10/9/2024,3210,250,13,2018,2020
2108,Hair Dryer,Overheating,5/13/2025,3463,35,24,2022,2024
2111,Heater,Flickering,10/10/2023,1568,616,3,2018,2021
2119,Coffee Maker,Leaking,9/13/2023,988,643,1,2015,2018
2020,Heater,Overheating,7/1/2024,2324,350,6,2017,2020
2127,Coffee Maker,Low performance,5/9/2024,3460,403,8,2014,2017
2088,Lamp,Noisy,5/7/2025,1413,40,24,2018,2020
2119,Air Conditioner,Low performance,12/11/2024,4739,188,24,2018,2023
2017,Mini Fridge,Leaking,3/10/2024,557,463,1,2022,2027
2005,Air Conditioner,Overheating,12/12/2023,834,552,2,2017,2022
2041,Coffee Maker,Overheating,10/19/2024,2349,241,10,2024,2027
2031,Hair Dryer,Noisy,5/23/2024,3977,389,9,2015,2017
2102,Television,Overheating,7/23/2023,2791,694,5,2024,2028
2070,Television,Leaking,1/23/2025,2099,144,16,2018,2022
2133,Television,Overheating,11/18/2024,3757,210,17,2024,2028
2047,Mini Fridge,Unresponsive,3/28/2025,3524,81,24,2014,2019
2035,Mini Fridge,Overheating,7/12/2023,1142,705,2,2016,2020
2131,Heater,Noisy,12/25/2024,3914,173,24,2016,2019
2083,Hair Dryer,Low performance,11/28/2023,584,567,1,2023,2025
2037,Coffee Maker,Leaking,3/19/2025,829,90,11,2022,2025
2099,Heater,Low performance,7/13/2023,2661,705,4,2019,2022
2115,Coffee Maker,Not working,9/9/2024,2748,280,10,2018,2021
2086,Air Conditioner,Unresponsive,11/5/2023,1011,590,2,2022,2027
2116,Coffee Maker,Not working,7/17/2023,1345,701,2,2022,2025
2121,Coffee Maker,Flickering,11/14/2024,3313,215,15,2017,2020
2078,Heater,Overheating,7/12/2023,2090,706,3,2018,2021
2053,Hair Dryer,Overheating,2/10/2024,2525,493,6,2021,2023
2128,Mini Fridge,Unresponsive,9/12/2024,2196,278,7,2023,2026
2120,Mini Fridge,Unresponsive,7/3/2024,3705,348,11,2014,2017
2006,Television,Unresponsive,10/25/2023,4701,600,8,2020,2024
2071,Lamp,Flickering,9/5/2024,4636,285,15,2022,2024
2047,Television,Low performance,7/19/2024,4342,332,14,2020,2024
2145,Mini Fridge,Leaking,11/7/2024,2598,222,10,2021,2026
2065,Lamp,Flickering,1/26/2025,1419,141,9,2022,2024
2024,Mini Fridge,Not working,7/26/2024,668,326,2,2023,2025
2110,Lamp,Noisy,10/22/2024,2800,237,12,2014,2016
2113,Hair Dryer,Flickering,5/23/2024,3088,390,7,2022,2024
2037,Heater,Overheating,2/14/2023,1891,854,2,2023,2026
2022,Television,Leaking,12/5/2024,1230,193,7,2018,2022
2140,Air Conditioner,Unresponsive,6/16/2025,2889,1,24,2022,2027
2032,Coffee Maker,Not working,5/18/2024,1559,394,4,2023,2026
2047,Hair Dryer,Not working,2/25/2024,4468,477,10,2024,2026
2102,Air Conditioner,Unresponsive,8/27/2024,1825,293,7,2023,2028
2048,Lamp,Low performance,10/13/2024,2984,247,13,2017,2019
2115,Coffee Maker,Overheating,6/25/2024,612,356,1,2023,2026
2123,Air Conditioner,Overheating,6/7/2025,917,10,24,2023,2028
2058,Heater,Overheating,5/20/2024,1844,393,4,2018,2021
2109,Mini Fridge,Overheating,10/28/2024,2420,231,12,2017,2020
2130,Hair Dryer,Flickering,2/10/2023,3671,858,4,2022,2024
2106,Lamp,Low performance,4/28/2024,2253,415,6,2021,2023
2004,Lamp,Leaking,7/3/2024,876,349,3,2024,2026
2041,Coffee Maker,Low performance,6/10/2024,4817,372,13,2018,2021
2134,Television,Not working,10/17/2024,3512,243,15,2016,2020
2054,Air Conditioner,Flickering,11/6/2023,2756,589,5,2021,2026
2119,Mini Fridge,Overheating,9/29/2023,1034,626,2,2021,2024
2062,Television,Low performance,6/5/2023,869,742,1,2019,2023
2100,Air Conditioner,Overheating,3/11/2023,1451,828,2,2014,2019
2139,Coffee Maker,Noisy,7/5/2024,2172,347,6,2017,2020
2017,Lamp,Not working,4/11/2023,1520,798,2,2015,2017
2119,Air Conditioner,Low performance,9/4/2024,2278,285,7,2017,2022
2006,Television,Not working,5/21/2025,3423,26,23,2016,2020
2147,Coffee Maker,Leaking,5/18/2025,2904,29,24,2015,2018
2008,Television,Flickering,1/1/2025,2204,167,12,2020,2024
2016,Coffee Maker,Unresponsive,11/19/2024,3125,209,15,2014,2017
2016,Mini Fridge,Low performance,10/8/2024,2237,252,9,2024,2028
2095,Television,Flickering,7/16/2024,2694,335,8,2019,2023
2108,Air Conditioner,Noisy,2/19/2024,4397,483,9,2021,2026
2045,Television,Overheating,6/18/2024,1216,363,4,2021,2025
2100,Television,Low performance,9/17/2024,4600,273,17,2023,2027
2115,Lamp,Overheating,12/25/2024,4298,173,24,2023,2025
2091,Mini Fridge,Low performance,8/9/2024,1051,311,3,2018,2020
2038,Air Conditioner,Flickering,5/14/2025,697,33,24,2024,2029
2136,Lamp,Unresponsive,4/13/2024,947,430,2,2015,2017
2079,Air Conditioner,Low performance,1/11/2023,2862,888,4,2017,2022
2039,Mini Fridge,Unresponsive,3/8/2024,642,466,1,2014,2018
2051,Air Conditioner,Noisy,1/23/2023,619,875,1,2024,2029
2069,Air Conditioner,Low performance,10/22/2023,2666,604,4,2014,2019
2135,Air Conditioner,Not working,6/14/2023,4583,734,6,2019,2024
2008,Heater,Noisy,4/6/2023,4909,803,6,2015,2018
2104,Heater,Low performance,10/25/2024,2156,235,10,2016,2019
2081,Coffee Maker,Overheating,4/10/2025,583,68,8,2018,2021
2010,Heater,Noisy,5/31/2024,3785,382,10,2017,2020
2053,Lamp,Leaking,6/16/2025,1663,1,24,2014,2016
2083,Television,Flickering,5/30/2023,2169,749,3,2023,2027
2032,Lamp,Noisy,5/6/2023,3065,773,5,2018,2020
2083,Coffee Maker,Unresponsive,10/1/2023,4558,624,7,2019,2022
2001,Heater,Overheating,4/4/2024,2419,438,5,2017,2020
2073,Hair Dryer,Low performance,3/5/2025,4211,104,24,2014,2016
2038,Coffee Maker,Not working,7/27/2024,1077,325,3,2023,2026
2118,Heater,Flickering,6/17/2024,2807,364,7,2014,2017
2119,Television,Flickering,4/28/2023,2345,780,4,2021,2025
2033,Television,Overheating,3/25/2025,2466,83,24,2023,2027
2079,Lamp,Flickering,8/20/2024,3121,301,10,2018,2020
2096,Television,Not working,1/5/2024,2327,529,4,2020,2024
2123,Hair Dryer,Flickering,2/28/2023,3049,839,3,2018,2020
2115,Mini Fridge,Flickering,12/16/2024,1170,182,8,2023,2028
2079,Heater,Overheating,5/3/2024,2563,409,7,2021,2024
2117,Mini Fridge,Leaking,4/20/2023,3922,788,5,2019,2021
2131,Air Conditioner,Not working,10/30/2024,4378,229,17,2021,2026
2143,Heater,Low performance,7/12/2023,719,706,1,2024,2027
2080,Lamp,Not working,10/22/2024,3557,238,16,2021,2023
2043,Air Conditioner,Not working,1/18/2023,1949,881,2,2016,2021
2007,Heater,Not working,4/20/2023,588,789,1,2016,2019
2096,Air Conditioner,Overheating,12/14/2023,4865,550,9,2017,2022
2070,Air Conditioner,Overheating,6/24/2024,2153,358,7,2016,2021
2135,Coffee Maker,Unresponsive,7/4/2024,2409,347,6,2022,2025
2110,Coffee Maker,Overheating,11/27/2023,3517,567,6,2017,2020
2000,Television,Leaking,9/24/2024,4163,265,15,2023,2027
2087,Heater,Overheating,4/27/2025,3964,51,24,2015,2018
2009,Mini Fridge,Overheating,3/9/2024,779,465,1,2016,2018
2136,Lamp,Noisy,12/11/2024,4512,187,23,2020,2022
2008,Television,Low performance,11/19/2024,3150,210,14,2022,2026
2100,Air Conditioner,Overheating,10/18/2024,2529,241,10,2015,2020
2085,Heater,Noisy,5/5/2023,1778,774,4,2019,2022
2026,Hair Dryer,Noisy,10/10/2024,648,250,3,2024,2026
2011,Lamp,Unresponsive,3/25/2025,2424,84,24,2018,2020
2144,Hair Dryer,Flickering,12/6/2024,2604,192,13,2017,2019
2046,Hair Dryer,Low performance,10/25/2023,4687,600,7,2018,2020
2022,Lamp,Overheating,8/5/2024,1123,316,4,2019,2021
2097,Hair Dryer,Unresponsive,5/20/2025,2064,28,24,2020,2022
2022,Hair Dryer,Noisy,12/24/2023,4062,540,7,2018,2020
2121,Coffee Maker,Low performance,9/16/2024,4933,274,18,2019,2022
2042,Hair Dryer,Overheating,6/25/2023,2255,722,3,2023,2025
2014,Heater,Flickering,2/20/2024,785,482,2,2014,2017
2150,Heater,Not working,2/10/2024,3408,493,6,2023,2026
2018,Hair Dryer,Noisy,3/21/2025,2241,87,22,2022,2024
2045,Television,Overheating,6/13/2024,2315,369,7,2017,2021
2039,Coffee Maker,Overheating,4/16/2023,4658,792,6,2015,2018
2066,Heater,Noisy,8/29/2024,1276,292,4,2021,2024
2057,Television,Not working,3/26/2024,807,447,2,2016,2020
2143,Air Conditioner,Leaking,7/31/2024,2461,321,7,2019,2024
2023,Coffee Maker,Not working,1/11/2024,3966,522,8,2023,2026
2073,Air Conditioner,Low performance,7/13/2024,4412,339,12,2021,2026
2100,Lamp,Not working,3/25/2023,2189,814,2,2018,2020
2088,Television,Unresponsive,4/30/2023,1481,779,2,2018,2022
2121,Mini Fridge,Overheating,7/15/2023,1912,703,3,2021,2023
2040,Coffee Maker,Leaking,2/25/2025,4171,111,24,2017,2020
2063,Lamp,Flickering,11/25/2024,1344,203,6,2019,2021
2093,Air Conditioner,Unresponsive,6/19/2023,2723,728,4,2024,2029
2056,Television,Unresponsive,5/7/2024,3927,405,9,2017,2021
2030,Mini Fridge,Leaking,8/22/2023,1645,664,2,2024,2028
2077,Mini Fridge,Not working,6/28/2023,810,719,2,2020,2025
2137,Hair Dryer,Low performance,11/28/2023,756,566,1,2021,2023
2086,Coffee Maker,Flickering,1/29/2023,2711,869,3,2014,2017
2072,Heater,Not working,12/16/2023,2373,548,5,2023,2026
2130,Heater,Low performance,8/23/2024,3939,297,15,2014,2017
2032,Air Conditioner,Flickering,1/2/2023,1612,897,2,2019,2024
2122,Lamp,Unresponsive,10/4/2024,1551,256,7,2021,2023
2125,Television,Not working,10/15/2024,2778,245,11,2015,2019
2067,Air Conditioner,Flickering,12/13/2024,3464,185,18,2022,2027
2096,Mini Fridge,Leaking,10/16/2023,1416,609,3,2024,2029
2004,Television,Overheating,5/13/2025,785,34,24,2016,2020
2073,Heater,Low performance,12/18/2024,1416,180,7,2022,2025
2011,Air Conditioner,Overheating,9/14/2023,2702,642,4,2018,2023
2142,Heater,Not working,11/4/2024,4437,225,23,2019,2022
2063,Lamp,Overheating,2/18/2023,4343,850,5,2024,2026
2029,Mini Fridge,Flickering,7/24/2023,1329,693,2,2014,2016
2147,Coffee Maker,Unresponsive,3/16/2024,3931,457,9,2018,2021
2090,Heater,Noisy,1/2/2023,1786,897,2,2019,2022
2060,Heater,Not working,12/23/2024,3582,176,22,2014,2017
2081,Air Conditioner,Leaking,8/19/2023,1261,668,2,2019,2024
2120,Heater,Not working,3/29/2024,3504,445,8,2024,2027
2091,Mini Fridge,Flickering,1/11/2023,4667,887,5,2018,2020
2118,Lamp,Noisy,1/28/2023,1079,870,2,2020,2022
2047,Lamp,Low performance,1/2/2023,1197,897,1,2023,2025
2018,Television,Overheating,2/29/2024,889,473,2,2015,2019
2064,Mini Fridge,Low performance,3/20/2023,2932,820,3,2024,2029
2118,Air Conditioner,Not working,10/25/2023,2502,600,5,2020,2025
2045,Coffee Maker,Noisy,10/29/2024,875,230,5,2021,2024
2142,Heater,Leaking,5/31/2025,2736,16,24,2024,2027
2007,Heater,Noisy,3/11/2024,1927,463,4,2015,2018
2139,Coffee Maker,Noisy,10/21/2024,3483,239,17,2023,2026
2060,Coffee Maker,Low performance,7/30/2023,13314,688,20,2019,2022
2064,Lamp,Unresponsive,10/31/2023,2786,595,5,2022,2024
2139,Heater,Unresponsive,8/17/2024,3815,304,13,2018,2021
2143,Air Conditioner,Leaking,7/20/2024,2368,331,7,2022,2027
2091,Air Conditioner,Overheating,6/12/2024,4483,370,12,2014,2019
2104,Television,Not working,4/17/2024,3436,425,8,2018,2022
2089,Television,Noisy,6/8/2024,3036,373,8,2014,2018
2003,Hair Dryer,Low performance,11/27/2023,3836,568,6,2023,2025
2043,Heater,Unresponsive,4/1/2023,2685,807,3,2016,2019
2036,Lamp,Leaking,1/17/2024,2088,517,4,2018,2020
2069,Hair Dryer,Noisy,6/27/2024,4450,354,14,2021,2023
2116,Air Conditioner,Overheating,6/21/2024,2766,361,8,2023,2028
2121,Television,Flickering,8/6/2023,2759,680,3,2016,2020
2001,Hair Dryer,Noisy,12/11/2024,3670,187,18,2022,2024
2099,Mini Fridge,Overheating,2/27/2025,3817,110,24,2020,2025
2046,Hair Dryer,Overheating,1/5/2024,1726,528,3,2018,2020
2004,Mini Fridge,Noisy,6/21/2023,3476,726,4,2015,2020
2053,Mini Fridge,Not working,1/8/2023,1864,890,2,2017,2021
2071,Mini Fridge,Not working,3/21/2025,2458,88,24,2017,2021
2055,Mini Fridge,Not working,3/8/2023,2897,831,4,2022,2024
2050,Heater,Flickering,12/29/2024,1954,169,11,2018,2021
2012,Mini Fridge,Leaking,2/13/2025,1891,124,16,2017,2020
2041,Mini Fridge,Low performance,5/5/2024,2962,408,8,2018,2022
2006,Television,Noisy,10/3/2024,3157,256,13,2019,2023
2137,Heater,Overheating,11/15/2023,4578,579,8,2016,2019
2084,Heater,Low performance,5/2/2025,2154,46,24,2020,2023
2034,Coffee Maker,Flickering,12/24/2024,4372,175,24,2020,2023
2104,Coffee Maker,Not working,12/8/2023,3024,557,5,2015,2018
2033,Heater,Noisy,12/31/2024,4773,168,24,2020,2023
2084,Mini Fridge,Not working,5/5/2023,1624,773,3,2015,2017
2093,Heater,Low performance,2/22/2024,2378,480,5,2014,2017
2042,Mini Fridge,Overheating,6/11/2024,4659,370,12,2021,2026
2048,Hair Dryer,Noisy,12/5/2024,3209,193,15,2018,2020
2041,Hair Dryer,Unresponsive,5/3/2023,2610,776,3,2020,2022
2147,Lamp,Flickering,4/23/2024,2523,419,6,2016,2018
2050,Lamp,Leaking,6/26/2023,3830,721,6,2023,2025
2109,Hair Dryer,Flickering,3/1/2023,1801,838,3,2024,2026
2076,Air Conditioner,Flickering,11/19/2023,4618,576,9,2024,2029
2072,Hair Dryer,Leaking,8/29/2023,3143,657,4,2014,2016
2040,Heater,Unresponsive,7/22/2024,566,329,2,2017,2020
2103,Coffee Maker,Leaking,5/4/2023,1797,775,2,2024,2027
2090,Hair Dryer,Not working,6/30/2024,802,351,2,2017,2019
2040,Coffee Maker,Unresponsive,11/21/2024,1243,207,6,2019,2022
2116,Television,Unresponsive,2/21/2025,1759,116,15,2016,2020
2040,Coffee Maker,Leaking,2/3/2024,2021,500,4,2021,2024
2073,Hair Dryer,Not working,1/27/2023,2848,872,4,2022,2024
2074,Heater,Overheating,8/13/2023,3872,673,5,2019,2022
2112,Mini Fridge,Noisy,12/25/2023,1620,540,2,2022,2024
2127,Air Conditioner,Not working,3/26/2024,4391,447,10,2014,2019
2045,Air Conditioner,Flickering,4/24/2024,2382,419,6,2023,2028
2141,Heater,Unresponsive,6/21/2023,1390,726,2,2018,2021
2064,Hair Dryer,Overheating,9/24/2024,1579,266,6,2024,2026
2033,Mini Fridge,Unresponsive,3/22/2023,4577,818,5,2024,2029
2065,Heater,Leaking,3/14/2024,3958,459,9,2023,2026
2012,Television,Not working,12/5/2023,3889,559,7,2018,2022
2078,Hair Dryer,Overheating,1/26/2025,2746,142,22,2022,2024
2047,Television,Not working,3/21/2024,1832,453,4,2014,2018
2126,Mini Fridge,Unresponsive,7/16/2024,3336,335,10,2017,2021
2022,Hair Dryer,Low performance,10/1/2023,1677,625,3,2020,2022
2088,Heater,Flickering,9/21/2024,2274,269,9,2015,2018
2002,Hair Dryer,Low performance,4/23/2023,2446,785,3,2014,2016
2125,Lamp,Flickering,7/15/2024,3095,336,9,2021,2023
2121,Heater,Noisy,1/10/2024,1443,524,3,2020,2023
2147,Hair Dryer,Noisy,5/29/2024,2754,384,8,2016,2018
2068,Television,Overheating,8/14/2024,3447,307,11,2015,2019
2099,Lamp,Low performance,4/17/2024,1355,425,3,2019,2021
2102,Television,Low performance,12/26/2024,3892,173,22,2021,2025
2084,Heater,Low performance,5/8/2025,3658,39,24,2022,2025
2027,Air Conditioner,Unresponsive,5/9/2023,669,770,1,2021,2026
2116,Television,Unresponsive,8/29/2023,4510,658,7,2016,2020
2137,Lamp,Low performance,11/16/2023,5056,578,9,2020,2022
2068,Coffee Maker,Not working,3/28/2023,1420,812,2,2024,2027
2020,Hair Dryer,Low performance,3/11/2025,3980,97,24,2017,2019
2008,Air Conditioner,Leaking,8/2/2024,3407,318,11,2015,2020
2060,Coffee Maker,Leaking,3/30/2024,1142,443,3,2018,2021
2145,Television,Unresponsive,3/24/2024,1311,449,3,2019,2023
2087,Television,Unresponsive,4/26/2023,2116,782,2,2017,2021
2097,Lamp,Leaking,6/20/2024,3665,362,11,2018,2020
2081,Television,Leaking,11/29/2024,626,200,3,2018,2022
2096,Hair Dryer,Leaking,3/22/2024,4590,451,10,2014,2016
2104,Coffee Maker,Leaking,5/23/2023,4298,755,6,2022,2025
2107,Mini Fridge,Noisy,6/12/2024,3149,370,9,2020,2022
2016,Lamp,Low performance,10/10/2024,1433,249,5,2022,2024
2150,Heater,Low performance,12/3/2023,2541,562,5,2014,2017
2073,Mini Fridge,Noisy,7/28/2023,3444,689,5,2021,2024
2044,Hair Dryer,Noisy,4/25/2025,2845,53,24,2016,2018
2051,Coffee Maker,Unresponsive,10/10/2024,4505,250,18,2016,2019
2111,Air Conditioner,Low performance,3/13/2023,3909,827,5,2023,2028
2125,Lamp,Overheating,2/13/2023,1910,854,2,2014,2016
2080,Television,Leaking,3/15/2024,4425,459,9,2019,2023
2143,Television,Unresponsive,2/6/2023,652,861,1,2016,2020
2067,Lamp,Low performance,5/29/2025,5102,18,24,2022,2024
2021,Hair Dryer,Noisy,6/26/2024,2702,356,8,2014,2016
2046,Coffee Maker,Flickering,5/23/2025,2692,24,24,2017,2020
2113,Heater,Low performance,4/23/2023,4684,785,6,2016,2019
2021,Lamp,Flickering,4/27/2023,4772,781,6,2021,2023
2088,Mini Fridge,Not working,2/20/2024,4195,483,8,2021,2024
2013,Air Conditioner,Low performance,9/11/2023,1856,645,3,2019,2024
2069,Air Conditioner,Unresponsive,2/5/2023,3268,863,4,2022,2027
2087,Air Conditioner,Leaking,10/29/2023,4176,597,7,2018,2023
2081,Mini Fridge,Overheating,10/29/2023,1657,596,3,2014,2017
2134,Air Conditioner,Unresponsive,1/24/2023,2231,875,2,2014,2019
2022,Air Conditioner,Unresponsive,1/13/2024,3691,520,7,2023,2028
2051,Mini Fridge,Not working,9/24/2023,2972,631,4,2024,2026
2100,Mini Fridge,Low performance,9/29/2023,3121,627,4,2017,2021
2022,Television,Overheating,6/6/2024,2455,375,7,2024,2028
2008,Heater,Leaking,3/17/2023,3384,822,4,2014,2017
2134,Television,Leaking,9/4/2024,1162,285,4,2024,2028
2100,Television,Low performance,3/2/2023,2868,838,3,2023,2027
2014,Television,Flickering,10/30/2024,2831,229,12,2018,2022
2096,Coffee Maker,Flickering,8/7/2024,1732,314,6,2023,2026
2034,Mini Fridge,Low performance,11/26/2023,2297,569,4,2017,2019
2061,Hair Dryer,Leaking,3/16/2024,3850,458,9,2019,2021
2053,Heater,Flickering,8/6/2023,3994,681,6,2016,2019
2069,Mini Fridge,Overheating,4/1/2024,3998,441,8,2015,2019
2129,Mini Fridge,Not working,1/15/2024,4827,518,10,2024,2029
2105,Television,Low performance,9/29/2024,4177,260,16,2021,2025
2131,Coffee Maker,Leaking,5/13/2023,4127,766,5,2021,2024
2029,Hair Dryer,Unresponsive,9/19/2024,2780,271,11,2015,2017
2094,Lamp,Not working,8/15/2024,1936,305,7,2024,2026
2056,Mini Fridge,Flickering,3/5/2024,3459,468,7,2021,2026
2075,Lamp,Unresponsive,8/31/2024,2400,290,8,2019,2021
